Key,en,es,ar,fr,hi
Dashboard,Dashboard,Panel,لوحة القيادة,Devise de configuration,डैशबोर्ड
Default,Default,Por defecto,تقصير,Campagnes,गलती करना
Setup Currency,Setup Currency,Configuración de moneda,عملة الإعداد,Événements,सेटअप मुद्रा
Campaigns,Campaigns,Campañas,الحملات,Langue créée avec succès !,अभियान
Events,Events,Eventos,الأحداث,Transactions et journal,घटनाएँ
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!,Ajouter des journaux d'argent,भाषा सफलतापूर्वक बनाई गई!
Transactions & Log,Transactions & Log,Transacciones y registro,المعاملات والسجل,Journaux en attente,लेनदेन एवं लॉग
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال,Journaux terminés,मनी लॉग्स जोड़ें
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة,Journaux annulés,लंबित लॉग
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة,Tous les journaux,पूर्ण लॉग
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة,Journaux de dons,रद्द किए गए लॉग
All Logs,All Logs,Todos los registros,جميع السجلات,Entretien utilisateur,सभी लॉग
Donation Logs,Donation Logs,Registros de donaciones,سجلات التبرع,Utilisateurs actifs,दान लॉग
User Care,User Care,Atención al usuario,رعاية المستخدم,E-mail non vérifié,उपयोगकर्ता देखभाल
Active Users,Active Users,Usuarios activos,المستخدمون النشطون,Tous les utilisateurs,सक्रिय उपयोगकर्ता
Email Unverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني,Envoyer un e-mail aux utilisateurs,ईमेल असत्यापित
All Users,All Users,Todos los usuarios,كافة المستخدمين,Utilisateurs bannis,सभी उपयोगकर्ता
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,Soins administratifs,उपयोगकर्ताओं को ईमेल करें
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون,Tous les administrateurs,प्रतिबंधित उपयोगकर्ता
Admin Care,Admin Care,Atención administrativa,رعاية المشرف,Rôle d'administrateur,व्यवस्थापक देखभाल
All Admin,All Admin,Todos los administradores,كل المشرف,Autorisation de rôle,सभी व्यवस्थापक
Admin Role,Admin Role,Rol de administrador,دور المشرف,Envoyer un e-mail à l'administrateur,व्यवस्थापक भूमिका
Role Permission,Role Permission,Permiso de rol,إذن الدور,Abonné,भूमिका की अनुमति
Email To Admin,Email To Admin,Enviar correo electrónico al administrador,البريد الإلكتروني إلى المشرف,Messages de contact,एडमिन को ईमेल करें
Subscriber,Subscriber,Abonado,المشترك,Paramètres,ग्राहक
Contact Messages,Contact Messages,Mensajes de contacto,رسائل الاتصال,Paramètres Web,संपर्क संदेश
Settings,Settings,Ajustes,إعدادات,Paramètres de base,सेटिंग्स
Web Settings,Web Settings,Configuración web,إعدادات الويب,Actifs d’image,वेब सेटिंग्स
Basic Settings,Basic Settings,Configuraciones básicas,الإعدادات الأساسية,Configurer le référencement,बुनियादी सेटिंग्स
Image Assets,Image Assets,Recursos de imagen,أصول الصورة,Paramètres de l'application,छवि संपत्ति
Setup SEO,Setup SEO,Configurar SEO,إعداد كبار المسئولين الاقتصاديين,Écran de démarrage,एसईओ सेटअप करें
